id;short_label;label;long_label
1;payment;uniform Serbia salmon;Car Customer-focused multi-byte
2;haptic;Cambridgeshire Product Regional;regional
3;exuding;multi-tasking algorithm;solid state
4;Plastic Washington partnerships;Arkansas database Home;navigate Stravenue
5;Corporate New Hampshire Avon;intranet systems solid state;Assurance client-driven
6;Concrete Handcrafted TCP;Bahamian Dollar;Gorgeous transmitting
7;Shirt Unbranded impactful;invoice;Belarussian Ruble
8;invoice;virtual standardization;Rustic North Carolina Implemented
9;mint green Industrial;Granite;revolutionize Italy Fresh
10;Fantastic Metal Pizza;payment navigating Germany;Wallis and Futuna Principal Beauty
